,Value
165,"             Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair         "
166,"             Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair         "
167,"             Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair         "
168,"            Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair        "
169,"           Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair       "
170,"          Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair      "
171,"         Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair     "
172,"        Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder    "
173,"        Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar    "
174,     Media analysisPolitics 
175,
176, 20th February 202420th February 2024 
177, Abhishek Kumar 
178,"        Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder    "
179,     Politics 
180,
181, 16th February 2024 
182, Oishani Bhattacharya 
183,     Politics 
184,
185, 16th February 2024 
186, Shinjinee Majumder 
187,"        Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair    "
188,"        Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya    "
189,     Politics 
190,
191, 13th February 202413th February 2024 
192, Oishani Bhattacharya 
193,        Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder    
194,     Politics 
195,
196, 9th February 202413th February 2024 
197, Shinjinee Majumder 
198,"        Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair    "
199,     Politics 
200,
201, 5th February 2024 
202," Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair "
203,  Search fact-checks    Search for:       
204,  Search fact-checks    Search for:       
205,  Search fact-checks    Search for:       
206,  Search fact-checks    Search for:       
207,  Search fact-checks    Search for:      
208, Search fact-checks    Search for:     
209,Search fact-checks
210,   Search for:    
211,   Search for:    
212,  Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now     
213,  Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now     
214,  Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now     
215,  Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now     
216,  Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now    
217, Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now   
218,Support Alt News
219,Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now  
220,Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now  
221,Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now 
222,"    Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More           "
223,    Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder         
224,    Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder         
225,    Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder         
226,   Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder        
227,  Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder       
228, Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder      
229, Most Read 
230,          Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder     
231,         Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder    
232,         Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...   
233,     
234,
235, Jignesh Patel 
236, Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His... 
237,         Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder    
238,     
239,
240, Mohammed Zubair 
241,     
242,
243, Kinjal 
244,     
245,
246, Oishani Bhattacharya 
247,     
248,
249, Shinjinee Majumder 
250,"    Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More           "
251,"    Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More           "
252,"    Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More           "
253,"   Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More          "
254,"  Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More         "
255," Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More        "
256, Sci-Check 
257,"         Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit    "
258,
259,"  Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder   "
260," Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder  "
261, Shinjinee Majumder 
262, Archit 
263, Kinjal 
264, Archit 
265, More     
266,    
267,
268,
269,
270, 
271,  Latest Videos    
272,  Latest Videos    
273,  Latest Videos    
274,  Latest Videos    
275,  Latest Videos   
276, Latest Videos  
277,Latest Videos
278,
279,
280,"  Follow Alt News 
    215K  486K       "
281,"  Follow Alt News 
    215K  486K       "
282,"  Follow Alt News 
    215K  486K       "
283,"  Follow Alt News 
    215K  486K       "
284,"  Follow Alt News 
    215K  486K      "
285," Follow Alt News 
    215K  486K     "
286,Follow Alt News
287,"
    215K  486K    "
288,   215K  486K   
289,    Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                  
290,    Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                  
291,    Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                  
292,    Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                  
293,   Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                 
294,  Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                
295, Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya               
296, Recent Posts 
297,         Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya     
298,        Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya    
299,        Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar    
300,     Politics 
301,
302, 20th February 2024 
303, by Abhishek Kumar 
304,        Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya    
305,     Politics 
306,
307, 19th February 202419th February 2024 
308, by Oishani Bhattacharya 
309,      
310,
311,    
312,
313,
314,
315, 
316,             
317,           
318,         
319,       
320, 
321, 
322, 
323,"    All the content on the Alt News website, except where otherwise noted, is licensed under the Creative Commons Attribution 3.0 Unported License.   "
324,"   All the content on the Alt News website, except where otherwise noted, is licensed under the Creative Commons Attribution 3.0 Unported License.  "
325,"  All the content on the Alt News website, except where otherwise noted, is licensed under the Creative Commons Attribution 3.0 Unported License. "
326," All the content on the Alt News website, except where otherwise noted, is licensed under the Creative Commons Attribution 3.0 Unported License."
327,     
328, 
329, 
