,Value
204,"
















Viral image


stated on February 6, 2024 in a Facebook post








Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024




















Instagram posts


stated on February 4, 2024 in an Instagram post








Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024




















Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias








Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024




















Tucker Carlson


stated on February 6, 2024 in a video posted on X.








Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 31, 2024 in an Instagram post








The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024




















Instagram posts


stated on January 30, 2024 in an Instagram post








“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024




















Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News








“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 30, 2024 in a video








President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024




















Joe Biden


stated on February 4, 2024 in a post on X








“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024




















Instagram posts


stated on February 5, 2024 in an Instagram post








Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024






"
205,"















Viral image


stated on February 6, 2024 in a Facebook post








Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024




















Instagram posts


stated on February 4, 2024 in an Instagram post








Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024




















Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias








Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024




















Tucker Carlson


stated on February 6, 2024 in a video posted on X.








Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 31, 2024 in an Instagram post








The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024




















Instagram posts


stated on January 30, 2024 in an Instagram post








“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024




















Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News








“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 30, 2024 in a video








President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024




















Joe Biden


stated on February 4, 2024 in a post on X








“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024




















Instagram posts


stated on February 5, 2024 in an Instagram post








Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024





"
206,"














Viral image


stated on February 6, 2024 in a Facebook post








Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024




"
207,"












Viral image


stated on February 6, 2024 in a Facebook post


"
208,"








"
209,"






"
210,"




"
211,"

Viral image


stated on February 6, 2024 in a Facebook post

"
212,"
stated on February 6, 2024 in a Facebook post
"
213,"




Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024


"
214,"



Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024

"
215,"


Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”


"
216,"

Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”

"
217,"






"
218,"




"
219,"














Instagram posts


stated on February 4, 2024 in an Instagram post








Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024




"
220,"












Instagram posts


stated on February 4, 2024 in an Instagram post


"
221,"








"
222,"






"
223,"




"
224,"

Instagram posts


stated on February 4, 2024 in an Instagram post

"
225,"
stated on February 4, 2024 in an Instagram post
"
226,"




Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024


"
227,"



Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024

"
228,"


Video shows “Putin refused to acknowledge Netanyahu.”


"
229,"

Video shows “Putin refused to acknowledge Netanyahu.”

"
230,"






"
231,"




"
232,"














Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias








Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024




"
233,"












Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias


"
234,"








"
235,"






"
236,"




"
237,"

Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias

"
238,"
stated on January 29, 2024 in an interview with Univision Noticias
"
239,"




Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024


"
240,"



Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024

"
241,"


Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.


"
242,"

Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.

"
243,"






"
244,"




"
245,"














Tucker Carlson


stated on February 6, 2024 in a video posted on X.








Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024




"
246,"












Tucker Carlson


stated on February 6, 2024 in a video posted on X.


"
247,"








"
248,"






"
249,"




"
250,"

Tucker Carlson


stated on February 6, 2024 in a video posted on X.

"
251,"
stated on February 6, 2024 in a video posted on X.
"
252,"




Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024


"
253,"



Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024

"
254,"


Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”


"
255,"

Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”

"
256,"






"
257,"




"
258,"














Instagram posts


stated on January 31, 2024 in an Instagram post








The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024




"
259,"












Instagram posts


stated on January 31, 2024 in an Instagram post


"
260,"








"
261,"






"
262,"




"
263,"

Instagram posts


stated on January 31, 2024 in an Instagram post

"
264,"
stated on January 31, 2024 in an Instagram post
"
265,"




The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024


"
266,"



The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024

"
267,"


The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.


"
268,"

The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.

"
269,"






"
270,"




"
271,"














Instagram posts


stated on January 30, 2024 in an Instagram post








“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024




"
272,"












Instagram posts


stated on January 30, 2024 in an Instagram post


"
273,"








"
274,"






"
275,"




"
276,"

Instagram posts


stated on January 30, 2024 in an Instagram post

"
277,"
stated on January 30, 2024 in an Instagram post
"
278,"




“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024


"
279,"



“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024

"
280,"


“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”


"
281,"

“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”

"
282,"






"
283,"




"
284,"














Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News








“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024




"
285,"












Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News


"
286,"








"
287,"






"
288,"




"
289,"

Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News

"
290,"
stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News
"
291,"




“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024


"
292,"



“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024

"
293,"


“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.


"
294,"

“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.

"
295,"






"
296,"




"
297,"














Instagram posts


stated on January 30, 2024 in a video








President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024




"
298,"












Instagram posts


stated on January 30, 2024 in a video


"
299,"








"
300,"






"
301,"




"
302,"

Instagram posts


stated on January 30, 2024 in a video

"
303,"
stated on January 30, 2024 in a video
"
304,"




President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024


"
305,"



President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024

"
306,"


President Joe Biden admitted to using the Justice Department to pursue his political foes.


"
307,"

President Joe Biden admitted to using the Justice Department to pursue his political foes.

"
308,"






"
309,"




"
310,"














Joe Biden


stated on February 4, 2024 in a post on X








“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024




"
311,"












Joe Biden


stated on February 4, 2024 in a post on X


"
312,"








"
313,"






"
314,"




"
315,"

Joe Biden


stated on February 4, 2024 in a post on X

"
316,"
stated on February 4, 2024 in a post on X
"
317,"




“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024


"
318,"



“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024

"
319,"


“Inflation has been at the pre-pandemic level of 2% over the last half year.”


"
320,"

“Inflation has been at the pre-pandemic level of 2% over the last half year.”

"
321,"






"
322,"




"
323,"














Instagram posts


stated on February 5, 2024 in an Instagram post








Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024




"
324,"












Instagram posts


stated on February 5, 2024 in an Instagram post


"
325,"








"
326,"






"
327,"




"
328,"

Instagram posts


stated on February 5, 2024 in an Instagram post

"
329,"
stated on February 5, 2024 in an Instagram post
"
330,"




Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024


"
331,"



Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024

"
332,"


Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.


"
333,"

Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.

"
334,"






"
335,"




"
336,"
Get PolitiFact in your Inbox


Sign Upp









"
337,Get PolitiFact in your Inbox
338,"

Sign Upp








"
339,"
Sign Upp
"
340,"


"
341,
342,
343,"

"
344,"



Latest Articles























Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024





















U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024





















We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024





















Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024





















As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024





















Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024





















Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024





















What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024





















Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024





















Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024








View all

"
345,"


Latest Articles


"
346,"


















Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024





















U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024





















We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024





















Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024





















As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024





















Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024





















Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024





















What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024





















Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024





















Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024





"
347,"

















Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024





















U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024





















We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024





















Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024





















As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024





















Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024





















Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024





















What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024





















Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024





















Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024




"
348,"
















Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024



"
349,"















Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024


"
350,"










"
351,"








"
352,"


Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024

"
353,"
By Louis Jacobson • February 9, 2024
"
354,"
















U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024



"
355,"















U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024


"
356,"










"
357,"








"
358,"


U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024

"
359,"
By Louis Jacobson • February 8, 2024
"
360,"
















We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024



"
361,"















We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024


"
362,"










"
363,"








"
364,"


We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024

"
365,"
By Ellen Hine • February 8, 2024
"
366,"
















Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024



"
367,"















Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024


"
368,"










"
369,"








"
370,"


Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024

"
371,"
By Samantha Putterman • February 7, 2024
"
372,"
















As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024



"
373,"















As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024


"
374,"










"
375,"








"
376,"


As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024

"
377,"
By Maria Ramirez Uribe • February 7, 2024
"
378,"
















Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024



"
379,"















Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024


"
380,"










"
381,"








"
382,"


Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024

"
383,"
By Samantha Putterman • February 6, 2024
"
384,"
















Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024



"
385,"















Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024


"
386,"










"
387,"








"
388,"


Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024

"
389,"
By Madison Czopek • February 2, 2024
"
390,"
















What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024



"
391,"















What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024


"
392,"










"
393,"








"
394,"


What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024

"
395,"
By Louis Jacobson • February 2, 2024
"
396,"
















Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024



"
397,"















Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024


"
398,"










"
399,"








"
400,"


Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024

"
401,"
By Maria Ramirez Uribe • February 2, 2024
"
402,"
















Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024



"
403,"















Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024


"
404,"










"
405,"








"
406,"


Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024

"
407,"
By Louis Jacobson • February 1, 2024
"
408,"








Most Recent Promises





















Joe Biden


 








Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023




















Joe Biden


 








Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023




















Joe Biden


 








Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023




















Joe Biden


 








Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023




















Joe Biden


 








Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023















Editor's Picks











Elon Musk


stated on February 2, 2024 in an X post








Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”












By Amy Sherman • February 6, 2024










Facebook posts


stated on January 11, 2024 in una publicación en Facebook








""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".












By Marta Campabadal Graus • February 6, 2024










Instagram posts


stated on January 26, 2024 in an Instagram post








""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.












By Jeff Cercone • February 6, 2024










Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show








In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""












By Louis Jacobson • February 6, 2024










Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter








“Wisconsin had over 1,400 opioid overdose deaths in 2022.”












By Laura Schulte • February 6, 2024

















Sign Up For Our Weekly Newsletter
























People





















Joe Biden




















Citizens for Sanity




















Jeh Johnson




















Francis Suarez




















Donald Trump









View more











Fact-checking around the Web





















Posts misrepresent the status of a bill that could disqualify Trump from the ballot in Hawaii



By Associated Press • February 8, 2024



















Trump says Jan. 6 was ‘an insurrection caused by Nancy Pelosi’



By CNN • February 8, 2024



















Vehicles contribute fewer emissions than gasoline-powered cars over their lifetimes



By FactCheck.org • February 8, 2024



















No evidence to link UK excess deaths to COVID-19 vaccines



By Reuters • February 7, 2024



















Is gun violence really the leading cause of death for children?



By Washington Post FactChecker • February 7, 2024








View more



"
409,"

"
410,
411,"



Most Recent Promises





















Joe Biden


 








Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023




















Joe Biden


 








Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023




















Joe Biden


 








Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023




















Joe Biden


 








Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023




















Joe Biden


 








Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023








"
412,"


Most Recent Promises


"
413,"
















Joe Biden


 








Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023




















Joe Biden


 








Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023




















Joe Biden


 








Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023




















Joe Biden


 








Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023




















Joe Biden


 








Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023






"
414,"















Joe Biden


 








Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023




















Joe Biden


 








Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023




















Joe Biden


 








Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023




















Joe Biden


 








Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023




















Joe Biden


 








Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023





"
415,"














Joe Biden


 








Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023




"
416,"












Joe Biden


 


"
417,"








"
418,"






"
419,"




"
420,"

Joe Biden


 

"
421,"
 
"
422,"




Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023


"
423,"



Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023

"
424,"


Forgive student loan debt from public colleges and universities


"
425,"

Forgive student loan debt from public colleges and universities

"
426,"














Joe Biden


 








Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023




"
427,"












Joe Biden


 


"
428,"








"
429,"






"
430,"




"
431,"

Joe Biden


 

"
432,"
 
"
433,"




Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023


"
434,"



Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023

"
435,"


Increase refugee admissions


"
436,"

Increase refugee admissions

"
437,"














Joe Biden


 








Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023




"
438,"












Joe Biden


 


"
439,"








"
440,"






"
441,"




"
442,"

Joe Biden


 

"
443,"
 
"
444,"




Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023


"
445,"



Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023

"
446,"


Expand broadband, or wireless broadband via 5G, to every American


"
447,"

Expand broadband, or wireless broadband via 5G, to every American

"
448,"














Joe Biden


 








Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023




"
449,"












Joe Biden


 


"
450,"








"
451,"






"
452,"




"
453,"

Joe Biden


 

"
454,"
 
"
455,"




Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023


"
456,"



Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023

"
457,"


Expand Justice Department power to address police misconduct


"
458,"

Expand Justice Department power to address police misconduct

"
459,"














Joe Biden


 








Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023




"
460,"












Joe Biden


 


"
461,"








"
462,"






"
463,"




"
464,"

Joe Biden


 

"
465,"
 
"
466,"




Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023


"
467,"



Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023

"
468,"


Use a national commission to address policing issues


"
469,"

Use a national commission to address policing issues

"
470,"



Editor's Picks











Elon Musk


stated on February 2, 2024 in an X post








Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”












By Amy Sherman • February 6, 2024










Facebook posts


stated on January 11, 2024 in una publicación en Facebook








""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".












By Marta Campabadal Graus • February 6, 2024










Instagram posts


stated on January 26, 2024 in an Instagram post








""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.












By Jeff Cercone • February 6, 2024










Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show








In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""












By Louis Jacobson • February 6, 2024










Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter








“Wisconsin had over 1,400 opioid overdose deaths in 2022.”












By Laura Schulte • February 6, 2024








"
471,"


Editor's Picks


"
